id,year,title,Runtime,Rating,Directors,Writers,Production companies,Genres,Plot
16000,2004.0,Aitraaz,160,6.8,Abbas Alibhai Burmawalla-Mastan Alibhai Burmawalla,Shiraz Ahmed-Shiraz Ahmed-Aadesh K. Arjun,Mukta Arts,Drama-Romance-Thriller,"Successful businessman Raj Malhotra (Akshay Kumar) has everything going for him, including a lovely wife (Kareena Kapoor). Just when he thinks things can't get any better, Sonia (Priyanka Chopra) - his ex-girlfriend, now the boss's wife - walks back into his life - and she wants Raj. After he rejects her sexual advances, she accuses him of rape. But he soon turns the tables on Sonia and sues her for sexual harassment along with the help of his wife Priya."
16001,1984.0,Dangerous Moves,110,6.6,Richard Dembo,Richard Dembo,La Cécilia-Michael Arthur Films-Ministère de la Culture,Drama-Thriller,"Two masters of chess duel each other not only in their game but also in their different ideologies. The veteran Akiva is a Soviet Jew and ferocious Communist, master of his game but also dealing with a declining health while the young and restless genius Pavius has defected to the West to escape from the Communism tentacles. Their differences will be put to test while they're both competing in the World Chess Championship, with a huge prize at stake just as much as the political ideologies behind those characters."
16002,2002.0,Sex and Lucia,,,,,,,
16003,2002.0,He Sees You When You're Sleeping,100,5.7,David Winning,Carl Binder,Edge Entertainment-Rigel Entertainment-Waterfront Pictures,Comedy-Crime-Drama-Fantasy-Mystery,"Mary Higgins Clark's Christmas fantasy tells the tale of Sterling Brooks, a self-absorbed stock-broker who is killed in a freak accident. In order to secure a heavenly future, Sterling is given the chance to redeem himself by reuniting a family."
16004,2003.0,Gangaajal,157,7.9,Prakash Jha,Prakash Jha,Entertainment One India Ltd.-Prakash Jha Productions,Action-Crime-Drama,"An SP Amit Kumar who is given charge of Tezpur police station in Bihar. The area is full of corruption, inefficiency, bribery, nepotism, favoritism and crime with help from the local police. Gradually Amit realizes that the local politician Sadhu Yadav is the one who benefits the most out of it. Amit arrests Sunder Yadav, Sadhu's son. While Sunder is released soon, some police officers, get frustrated with the system, and pour acid into the eyes of two of Yadav's men, blinding them. A hue and cry is raised by the media, crime almost comes to a standstill, and the police are regarded with respect. SP Amit Kumar must now put an end to this kind of situation."
16005,1949.0,Criss Cross,84,7.6,Robert Siodmak,Daniel Fuchs-Don Tracy-William Bowers,Universal International Pictures,Crime-Drama-Film-Noir-Thriller,"Romantic, obsessive Steve Thompson is drawn back to L.A. to make another try for Anna, his former wife. However, Anna belongs now to the L.A. underworld. Steve believes he can rescue her, ignoring the advice and warnings of people who would try to save him. He commits himself to a dangerous course of action that quickly takes everyone somewhere unintended."
16006,1989.0,Seinfeld: Seasons 1 & 2,,,,,,,
16007,2001.0,Fish in a Barrel,85,5.4,Kent Dalian,Kent Dalian-Stephen Ingle-Rene M. Rigal,Fish in a Barrel Films,Comedy-Drama,
16008,1984.0,The Karate Kid,126,7.2,John G. Avildsen,Robert Mark Kamen,Columbia Pictures-Delphi II Productions-Jerry Weintraub Productions,Action-Drama-Family-Sport,"Daniel and his mother move from New Jersey to California. She has a wonderful new job, but Daniel quickly discovers that a dark haired Italian boy with a Jersey accent doesn't fit into the blond surfer crowd. Daniel manages to talk his way out of some fights, but he is finally cornered by several who belong to the same karate school. As Daniel is passing out from the beating he sees Miyagi, the elderly gardener leaps into the fray and save him by outfighting half a dozen teenagers. Miyagi and Daniel soon find out the real motivator behind the boys' violent attitude in the form of their karate teacher. Miyagi promises to teach Daniel karate and arranges a fight at the all-valley tournament some months off. When his training begins, Daniel doesn't understand what he is being shown. Miyagi seems more interested in having Daniel paint fences and wax cars than teaching him Karate."
16009,2002.0,High Times' Potluck,90,5.2,Alison Thompson,Victor Colicchio-Nicholas Iacovino,,Comedy-Crime,"High Times' Pot Luck is an upbeat pot caper that centers around a mobster who discovers the magic of marijuana. Frank is a loyal mob soldier whose eyes and mind are opened when he gets turned on to some killer weed by Jade, a beautiful young punk rocker who fronts an all-girl band. A suitcase full of high-quality reefer follows them throughout the film-- the suitcase is bought and sold, then stolen and restolen by an unlikely cast of gangsters, artists, drag queens and activists. The movie erupts in downtown Manhattan at a rally for the legalization of marijuana, where all the characters come together, making this the ""Mad, Mad, Mad, Mad World of Pot."""
16010,2002.0,Master Spy: The Robert Hanssen Story,200,6.2,Lawrence Schiller,Norman Mailer,20th Century Fox Television-Fox Television Studios-Lawrence Schiller Productions-Oakdale Productions Inc.,Biography-Drama,
16011,1997.0,Broadway Damage,111,6.8,Victor Mignatti,Victor Mignatti,Village Art,Comedy-Drama-Musical-Romance,"A quirky, romantic comedy about the complexity and frustration of finding a true love in the gay community. Marc is a struggling actor who finds an apartment in NYC by searching the obituaries. He lives with his out-of-work, eccentric fag-hag Cynthia. His best friend, Robert, is secretly in love with Marc, while Marc falls head over heels for flighty studio musician David. Things heat up as Marc's desire for David keeps him waiting by the phone, while Cynthia gets financially cut off from her rich parents and Robert struggles to express his feelings for Marc."
16012,1991.0,The Unborn,83,4.1,Rodman Flender,John Brancato-Michael Ferris,Califilm-Concorde-New Horizons,Drama-Horror-Sci-Fi-Thriller,"A couple who cannot have children joins an in-vitro fertilization program. While she is with child, she finds strange occurrences happening within her body. The horror surrounding the child comes to light when the parents find that their child has been part of a mad experiment."
16013,2005.0,Cream: Royal Albert Hall,130,8.1,Martyn Atkins,,Parallel 28 Equipe,Music,"After a 37 year absence Cream reformed in May 2005 for a series of concerts at the Royal Albert Hall, the stage of their last UK performance. As befitting a trio whose focus was always squarely on the music, they emerge to no fanfare, briefly test their instruments and launch into the perfectly apt ""I'm So Glad."" Drawing from each of their four studio albums, they revisit the songs for their inherent resonance and as a springboard for their instrumental interplay. There's no need to update the material, as it all still fits each of the three men like a thousand dollar suit. Bruce's vocals still soar with operatic bearing, Clapton sounds energized, freed from the production cushioning on his own recordings, and Baker, now in his mid-sixties, can still dazzle with his solo turn on ""Toad."""
16014,1997.0,Testamento,117,6.8,Francisco Manso,Mário Prata-Germano de Almeida,ADR Productions-Cineluz - Produções Cinematográficas Lda.-Cobra Films-Instituto Caboverdiano de Cinema-Instituto Português da Arte Cinematográfica e Audiovisual-J.L. Vasconcelos Lda.-Radiotelevisão Portuguesa,Drama,"Nopumoceno, the most successful businessman in the Cabo Verde archipelogo, is an ambitious, clever opportunist, known during his lifetime as ""eternity single"". However, he is then discovered by his illegitimate daughter to have gotten his fortune and his women in unorthodox and incredible ways ..."
16015,1981.0,Zoot Suit,103,6.8,Luis Valdez,Luis Valdez,Universal Pictures,Drama-Musical,"A kind of musical accompanying the story of the early 1940's and the effect that the ""zoot suit"" (a man's suit of long jacket and pegged pants, always worn with a long keychain that looped almost to the ankle.... the rebellious fashion of young men) had on the morals and attitudes of the people of that era."
16016,1989.0,Tango & Cash,104,6.4,Andrey Konchalovskiy-Albert Magnoli,Randy Feldman,Warner Bros.-The Guber-Peters Company,Action-Comedy-Crime-Thriller,"The polar opposites, Ray Tango, a suave and sophisticated police officer, and Gabe Cash, his overzealous long-haired partner, are a mismatched LAPD crime-fighting duo who work tirelessly to bring down their arch-nemesis, the ruthless drug lord, Yves Perret. However, when Perret manages to incriminate the pesty team with falsified evidence, Ray and Gabe will soon end up in a maximum-security prison, where an almost endless parade of inmates previously incarcerated by them, are waiting for their captors impatiently. Now, more than ever, Tango and Cash need to put their differences aside to come up quickly with a good plan, not only to escape the jail's walls but also to even the score with the evil kingpin who put them behind bars once and for all. Of course, that's easier said than done."
16017,1989.0,Across the Tracks,,,,,,,
16018,2004.0,Best of the VonErichs,,,,,,,
16019,1979.0,Death Duel of Kung Fu,86,5.9,Chi Chang,Kuang Ni,Kee Woo Film (H.K.)Co.,Action-Drama,
