id,year,title,Runtime,Rating,Directors,Writers,Production companies,Genres,Plot
10000,1995.0,Dr. Jekyll and Ms. Hyde,90,4.5,David Price,David Price-Tim John-Oliver Butcher,The Rank Organisation-PVM Entertainment-Savoy Pictures-Rastar/Leider-Shapiro,Comedy-Romance-Sci-Fi,"New York City, Dr. Richard Jacks is a creator of perfumes. His girlfriend, Sarah, sometimes gets pushed to the side, but he loves her. One day, he discovers that his great-grandfather, Dr. Jekyll, was a scientist with a secret: a revolutionary discovery. Richard tries to follow in his footsteps and creates perfumes, each greater than the next. But one gives him more than he bargained for. Richard is transformed into a buxom bombshell, Helen Hyde. Helen is a powerhouse and a woman with a plan. The catch is, Richard doesn't know she exists. As he finds himself in situations each more ridiculous than the last, Richard becomes aware of his alter ego and makes a plan to get rid of her once and for all. But, Helen's career is growing, she won't go without a fight."
10001,1994.0,Chef!: Series 2,,,,,,,
10002,1937.0,The Three Stooges: Dizzy Doctors,,,,,,,
10003,1981.0,Charlie Chan and the Curse of the Dragon Queen,95,4.1,Clive Donner,Jerry Sherlock-Stan Burns-David Axlerod,American Cinema Productions-Jerry Sherlock Productions,Comedy-Mystery,"Famous detective Charlie Chan (Sir Peter Ustinov) is called out of retirement to help a San Francisco Detective (Brian Keith) solve a mysterious series of murders. With his bumbling grandson Lee Chan, Jr. (Richard Hatch) as his sidekick, Chan also encounters an old nemesis known as the ""Dragon Queen"" (Angie Dickinson), who is the prime suspect."
10004,1995.0,Ninja Scroll,,,,,,,
10005,2004.0,Typhoid Mary: The Most Dangerous Woman in America: Nova,,,,,,,
10006,1954.0,Target Earth,75,5.7,Sherman A. Rose,William Raynor-James H. Nicholson-Wyott Ordung,Abtcon Pictures-Allied Artists Productions-Herman Cohen Productions,Horror-Sci-Fi,"A large city is ordered to be completely evacuated as an army of robots, believed to be from the planet Venus, attack it. Left behind are Nora King and Frank Brooks, strangers until their chance meeting in the deserted streets. They meet a celebrating couple at a café, Vicki Harris and Jim Wilson. The quartet escape the robot patrol and take refuge in a large hotel. There, they encounter a new danger in Davis, a psychopathic killer. Venus robots or not, Davis practices his profession."
10007,2000.0,Two Brothers,107,7.8,Joel Coen-Ethan Coen,Homer-Ethan Coen-Joel Coen,Touchstone Pictures-Universal Pictures-StudioCanal-Working Title Films-Mike Zoss Productions,Adventure-Comedy-Crime-Music,"Loosely based on Homer's ""Odyssey,"" the movie deals with the picaresque adventures of Ulysses Everett McGill and his companions Delmar and Pete in 1930s Mississipi. Sprung from a chain gang and trying to reach Everett's home to recover the buried loot of a bank heist they are confronted by a series of strange characters--among them sirens, a cyclops, bank robber George ""Baby Face"" Nelson (very annoyed by that nickname), a campaigning governor and his opponent, a KKK lynch mob, and a blind prophet who warns the trio that ""the treasure you seek shall not be the treasure you find."""
10008,1984.0,Sharaabi,180,7.4,Prakash Mehra,Kader Khan-Prakash Mehra-Laxmikant Sharma,,Comedy-Drama-Romance,"In lieu of love and affections from his multi-millionaire father, Amarnath Kapoor; Vicky is instead serve brandy. Amarnath is interested in materializing his businesses to greater heights leaving the needs of his son to be completed by Munshi Phoolchand thus Vicky grows up to be an alcoholic and utilizes every opportunity to scuffs and insult his father. While Amarnath wants a wealthy spouse for Vicky he is attracted to a poor woman, Meena and decides he will only get marry to her."
10009,2000.0,All My Loved Ones,,,,,,,
10010,2004.0,Malevolence,127,4.5,Nick Groff-Michael A. Martinez,Nick Groff-Michael A. Martinez,Film Harvest Productions-Scythe Productions,Action-Crime-Drama,"Antonio owes the Robaldo family a hundred G's, Gray wants revenge on the street gang who mugged him, Jimmy's escaped from prison, and his brother/accomplice David has many serious mental conditions. Detective Brickley is hot on their trail willing to stop them with any means necessary, while a pair of rogue psychiatrists track them to discover the roots of David's condition. It isn't long before the paths of these characters cross with violent and tragic consequences. The result is a shocking and disturbing portrait of human nature at its worst that can only be summed up in one word: Malevolence."
10011,2005.0,Lamb of God: Killadelphia,180,8.8,Doug Spangenberg,,High Roller Studios,Music,"The making of the Lamb Of God As The Palaces Burn album documentary takes an intimate, 70 minute look into the making of the band's modern, metal masterpiece. Includes in depth new Lamb Of God interviews with producers Devin Townsend and Josh Wilbur."
10012,1989.0,Who's Harry Crumb?,94,5.8,Paul Flaherty,Robert Conte-Peter Wortmann,TriStar Pictures-NBC Productions-Arnon Milchan Productions-Frostbacks,Comedy-Mystery,"Harry is the latest generation of the Crumbs, famous and extremely talented detectives. Unfortunately talent seems to have skipped a generation and Harry is reduced to ""gumshoe"" work at a remote branch of the Crumb detective agency. Back at headquarters, Crumb executive Elliot Draison hatches an evil plan which requires the inclusion of an incompetent detective. With Harry Crumb on the case Draison thinks everything will run fine for him. Despite his best efforts Crumb actually makes some headway in the case..."
10013,1986.0,Peggy Sue Got Married,103,6.4,Francis Ford Coppola,Jerry Leichtling-Arlene Sarner,TriStar Pictures-Rastar Pictures-Zoetrope Studios-Delphi V Productions,Comedy-Drama-Fantasy-Romance,"A 43-year-old mother and housewife who's facing divorce is thrust back in time when she attends her high-school reunion. Given the chance to change the course of her life, she finds herself making many of the same choices."
10014,1989.0,The Shell Seekers,102,6.8,Waris Hussein,John Pielmeier,Central Independent Television-Hallmark Hall of Fame Productions-Marian Rees Associates,Drama,"Given an opportunity to trade her most cherished possession for comfort an security, Penelope must take a good look at her future. With three grown children and a lifetime of memories, she realizes that something is missing, the simple joy she knew as a child playing on the beach. So she embarks on an incredible journey-50 years into her past-to discover the secret to happiness for her friends, her family...and herself"
10015,1990.0,Queen: Live at Wembley Stadium,,,,,,,
