id,year,title,Runtime,Rating,Directors,Writers,Production companies,Genres,Plot
6000,1952.0,The Star,89,7.2,Stuart Heisler,Dale Eunson-Katherine Albert,Bert E. Friedlob Productions,Drama-Romance,"Middle-aged Oscar winning actress Margaret Elliot - Maggie to those that know her - is a Hollywood has-been. Her life is in shambles. She clings to the hope of resurrecting her past movie stardom as a leading ingénue. No one will hire her, she's penniless with creditors selling off anything that she owns that is of monetary value, and she has no one to turn to that can see her through financially. She has in the past supported her sister and brother-in-law, who still want to use her as their meal ticket. Divorced from her actor husband, she shares joint custody of their teen-aged daughter Gretchen, from who Maggie tries to hide her problems. When it looks as if Maggie has hit rock bottom, Jim Johannsen re-enters her life. Jim, who once had the stage name Barry Lester, got his big break in Hollywood movies by Maggie. He came to the quick realization that he was neither good as an actor or that he wanted to do it as a profession. He now works as a boat parts supplier and mechanic. Jim tries to help her come to the realization of the stage of life that she is in to help her reinvent herself. But Maggie wants to regain her star status on her own terms, and does whatever she needs to for that great ingénue role that has eluded her for so many years."
6001,1992.0,Tom and Jerry: The Movie,84,5.4,Phil Roman,Dennis Marks,Turner Pictures-Turner Entertainment-Film Roman Productions-WMG Film-Hanna-Barbera Productions-Turner Feature Animation,Animation-Adventure-Comedy-Family-Musical,The popular cartoon cat and mouse are thrown into a feature film. The story has the twosome trying to help an orphan girl who is being berated and exploited by a greedy guardian.
6002,1996.0,Norma Jean & Marilyn,139,6.1,Tim Fywell,Anthony Summers-Jill Isaacs,Home Box Office,Biography-Drama,"In this film, Ashley Judd and Mira Sorvino portray two sides of the woman America loved, but who struggled to love herself: Marilyn Monroe. To the world, Marilyn was a vivacious superstar, the epitome of sexuality, sensuality and frolicsome amusement. Every man wanted her - every woman wanted to be her. But behind the enticing smile, beneath the tight-fitting dresses, there was a dark secret - one Marilyn could not bury in the past... the child inside named Norma Jean. Everything Norma Jean dreams of, Marilyn achieves. Every man she struggles to resist, Marilyn succumbs to. And while Marilyn climbs the ladder to success, Norma Jean was beneath it, almost willing her to fall."
6003,1990.0,Wild at Heart,125,7.2,David Lynch,Barry Gifford-David Lynch,PolyGram Filmed Entertainment-Propaganda Films,Comedy-Crime-Drama-Thriller,"Lula's psychopathic mother goes crazy at the thought of Lula being with Sailor, who just got free from jail. Ignoring Sailor's probation, they set out for California. However their mother hires a killer to hunt down Sailor. Unaware of this, the two enjoy their journey and themselves being together... until they witness a young woman dying after a car accident - a bad omen."
6004,1991.0,V.I. Warshawski,89,4.9,Jeff Kanew,Sara Paretsky-Edward Taylor-Edward Taylor,Hollywood Pictures-Silver Screen Partners IV-Chestnut Hill Productions,Action-Comedy-Crime-Mystery,"Victoria ""V.I"" Warshawski is a Chicago based private detective who agrees to babysit for her new boyfriend; then he is murdered. Being the detective type, she makes the murder her next case. In doing so she befriends the victim's daughter, Kat, and together they set out to crack the case."
6005,2001.0,Baby Boy,130,6.4,John Singleton,John Singleton,Columbia Pictures-New Deal Productions,Crime-Drama-Romance-Thriller,"This is the story of Jody, an unemployed young black man, who's been living with his mother for several years, even though he's got a child of his own. Romantically, he's having relationships with two women: Yvette, the mother of his son, and a new interest."
6006,1987.0,The Sicilian,115,5.4,Michael Cimino,Mario Puzo-Steve Shagan-Gore Vidal,Gladden Entertainment,Action-Crime-Drama,"Giuliano robs from the rich conservative landowners to give to the poor, serf-like peasants, who in turn hail him as their savior. As his popularity grows, so does his ego, and he eventually thinks he is above the power of his backer, Mafia Don Masino Croce. The Don, in turn, sets out to kill the upstart by convincing his cousin and closest advisor Pissciota to assassinate him"
6007,2003.0,Arrested Development: Season 1,,,,,,,
6008,1955.0,My Sister Eileen,108,6.8,Richard Quine,Blake Edwards-Richard Quine-Joseph Fields,Columbia Pictures,Comedy-Musical-Romance,"Ruth and her beautiful sister Eileen come to New York's Greenwich Village looking for ""fame, fortune and a 'For Rent' sign on Barrow Street"". They find an apartment (such as it is!), but fame and fortune are a lot more elusive. Ruth gets the attention of playboy publisher Bob Baker when she submits a story about her gorgeous sister Eileen. She tries to keep his attention by convincing him that she, (a ""spinsterish old-maid writer"") and the gorgeous, man-getting Eileen are one and the same person."
6009,1995.0,Carnosaur 3,83,3.5,Louis Morneau,Michael Palmer,Concorde-New Horizons-New Horizons Picture,Action-Horror-Sci-Fi,
