id,year,title,Runtime,Rating,Directors,Writers,Production companies,Genres,Plot
1,2003,Dinosaur Planet,50,7.7,Pierre de Lespinois,Mike Carrol-Mike Carroll-Georgann Kane,,Documentary-Animation-Family,A four-episode animated series charting the adventures of four dinosaurs - each on a different continent in the prehistoric world: a lone female Velociraptor in Asia; a young male Daspletosaurus in North America; a South American female Saltasaur; and a young adult Pyroraptor in Europe. Narrated by Christian Slater and hosted by paleontologist Scott Sampson.
2,2004,Isle of Man TT 2004 Review,,,,,,,
3,1997,Character,122,7.8,Mike van Diem,Ferdinand Bordewijk-Laurens Geels-Mike van Diem,First Floor Features-Almerica Film,Crime-Drama-Mystery,"In the 20's, in Netherlands, Jacob Willem Katadreuffe has just concluded the law school and has an argument with the High Court Enforcement Officer Dreverhaven at his office. Katadreuffe leaves the place covered in blood. On the next morning, he is arrested by the police for the murder of Dreverhaven. He claims that he is innocent and discloses the story of his life to the Chief of Police. His mother Joba was the maid at Dreverhaven. One night, she is raped by him and a couple of weeks later she learns that she is pregnant. Dreverhaven proposes to marry her but Joba quits her job and leaves his house. Along the years, Katadreuffe is bullied at school and called bastard by his mates and his mother never talks to him. One day, he is involved by other kids in a theft of bread and arrested by the police. When he calls his biological father to help him, Dreverhaven tells the police that he does not know who Katadreuffe is. The boy is intelligent and learns English reading a superseded and incomplete edition of encyclopedia that was left behind by the previous tenants of his apartment. Katadreuffe is also ambitious and asks for a job in a law office, where he becomes the protégé of his mentor De Gankelaar. Soon he falls in unrequited love with the secretary Lorna Te George Victor. Along the years, Dreverhaven uses his power to harm him. When he concluded his course, he decides to pay a visit to Dreverhaven to tell him that he has wined their dispute. May Katadreuffe have killed Dreverhaven?"
4,1994,Paula Abdul's Get Up & Dance,54,8.8,Steve Purcell,,,Family,"Join Paula Abdul for the ultimate workout - an hour so fun you'll forget all about the fitness part! Paula's new aerobic dance workout program is unlike anything else out there. It combines both low- and high-impact aerobics, with a strong focus on burning all that unwanted fat. It's safe and exciting for beginners, yet challenging enough for pros. Best of all, it's a great time - a workout you'll look forward to. So what are you waiting for...Get Up and Dance!"
5,2004,The Rise and Fall of ECW,360,8.6,Kevin Dunn,Paul Heyman,WWE Home Video,Documentary-Sport,
6,1997,Sick,90,7.6,Kirby Dick,,Sick-the Life and Death of Bob Flanagan-Supermasochist,Documentary,"Documentary about writer and performance artist Bob Flanagan who died at 43 of cystic fibrosis. His life was indicated by pain from the beginning and he started to develop sadomasochistic practices, which he developed finally into performances."
7,1992,8 Man,83,5.0,Yasuhiro Horiuchi,Kazumasa Hirai-Jirô Kuwata,Rim Publishing,Action-Sci-Fi,"After Tokyo police officer Yokoda is killed in the line of duty, his chief decides give Yokoda's body to Dr. Tani for use in a secret scientific experiment: Yokoda's brain will be transplanted into a super-powered robot body, making him into an unstoppable policeman of the future. The supercop develops problems, however, when he begins to remember his human past. Then there is the matter of Dr. Tani's other cyborg, who has become a super-powered homicidal maniac."
8,2004,What the #$*! Do We Know!?,109,5.4,William Arntz-Betsy Chasse-Mark Vicente,William Arntz-Betsy Chasse-Matthew Hoffman,Captured Light-Lord of the Wind,Documentary-Comedy-Drama-Fantasy-Mystery-Sci-Fi,"""WHAT THE #$*! DO WE KNOW?!"" is a radical departure from convention. It demands a freedom of view and greatness of thought so far unknown, indeed, not even dreamed of since Copernicus. It's a documentary. It's a story. It's mind-blowing special effects. This film plunges you into a world where quantum uncertainty is demonstrated - where neurological processes, and perceptual shifts are engaged and lived by its protagonist - where everything is alive, and reality is changed by every thought."
9,1991,Class of Nuke 'Em High 2,90,4.2,Eric Louzil,Lloyd Kaufman-Carl Morano-Matt Unger,Troma Entertainment,Comedy-Horror-Sci-Fi,"The class of nuke 'em high is back, and this time they're in college! Tromaville's nuclear factory has been rebuilt and now includes the Tromaville institute of technology. Located inside the nuclear plant, Tromaville Tech is where Prof. Holt has perfected Sub-humanoids.... Living beings without emotions, who have been genetically programmed to perform menial tasks. When school reporter Roger Smith meets a beautiful subhumanoid named Victoria, they fall in love. It's too bad the creatures have a tendency to go into spontaneous meltdown. Roger is now determined to save Victoria from this messy fate, but first he'll have to face the giant mutant squirrel, Tromie, who attacks Tromaville tech in the explosive climax."
10,2001,Fighter,,,,,,,
