id,year,title,Runtime,Rating,Directors,Writers,Production companies,Genres,Plot
4000,2002.0,Ultimate Crop Circles: Signs From Space?,115,7.2,Tim Werenko,,Central Park Media,Documentary,
4001,1939.0,The Four Feathers,129,7.6,Zoltan Korda,A.E.W. Mason-R.C. Sherriff-Lajos Biró,London Film Productions,Adventure-Drama-Romance-War,"Resigning his commission on the eve of his unit's deployment against Egyptian rebels, a British officer seeks to redeem his cowardice by secretly aiding his former comrades, disguised as an Arab. When his unit is overwhelmed and captured by the rebels, the hero finds an opportunity to return the ""feathers"" of cowardice sent to him by his former comrades by freeing them."
4002,2004.0,Cosplay Complex,,,,,,,
4003,1999.0,Deal of a Lifetime,94,4.8,Paul Levine,Katharine R. Sloan,Tomorrow Film Corporation,Comedy-Fantasy-Romance,
4004,1930.0,The Blue Angel,104,7.8,Josef von Sternberg,Heinrich Mann-Carl Zuckmayer-Karl Vollmöller,Universum Film-UFA Tonfilm-Universum Film,Drama-Music,"Germany 1924. Middle aged Dr. Immanuel Rath is a literature professor at a boys college. Most of his students don't much like him, often calling him ""unrath"" - German for garbage. Dr. Rath learns that many of his boys often frequent a cabaret called Der blaue Engel - the Blue Angel - which he believes is corrupting their impressionable young minds. He heads to the Blue Angel himself to catch the boys in the act and shame them into not going again. Over several visits, Rath is able to catch the boys, but in the process he also understands what attracts the boys, namely the headlining performer Lola Lola. Rath falls under Lola's spell, he who falls in love with her - and she seemingly with him - so much so that he wants to marry her and give up his teaching career to be with her on her travels from cabaret to cabaret. Their relationship ends up not being what either envisioned, the question being how they will both deal with their disintegrating relationship and the reasons behind that disintegration."
4005,1993.0,Dr. Quinn,60,6.7,,Beth Sullivan-Sara Davidson-Carl Binder,CBS-Sullivan Company,Drama-Family-Western,"The fifth daughter of a wealthy Boston physician, Michaela Quinn defies the conventions of post-Civil War society by following in her father's footsteps. After his death, 'Dr. Mike' leaves Boston and moves to the frontier town of Colorado Springs, where she finds the citizens less than thrilled by the concept of a woman doctor. While she struggles to earn their trust, Mike's life is complicated by a growing relationship with mountain man Byron Sully, and the unexpected responsibility of raising three orphaned children."
4006,2003.0,Sesame Street: Cookie Monster's Best Bites,,,,,,,
4007,1989.0,Cyborg,86,5.1,Albert Pyun,Albert Pyun,Cannon Entertainment-Golan-Globus Productions,Action-Sci-Fi-Thriller,"Gibson Rickenbacker is a hired fighter living in a plague-ravaged apocalyptic America where a plague has infested most of the United States and the rest of the world. In New York City, Gibson encounters a woman named Pearl Prophet. Pearl reveals to Gibson that she is a cyborg who is carrying vital-information for a group of scientists in Atlanta who are working on a cure to the plague and Pearl hires Gibson to escort her back to Atlanta. But Pearl is kidnapped by ""Pirates"" a murderous gang led by Fender Tremolo, who wants the cure for themselves and they decide to take Pearl to Atlanta themselves. Gibson, joined by a young woman named Nady Simmons, goes in pursuit of Fender and his gang, as Gibson sets out to rescue Pearl, stop Fender and his gang from reaching Atlanta and defeat Fender who slaughtered Gibson's family."
4008,2002.0,David Blaine: Fearless,110,7.3,,,David Naylor Productions-Disney Television Studios,Documentary,
4009,1999.0,Intimate Betrayal,,6.0,Dianah Wynter,Donna Hill-Chuck Cummings-Dianah Wynter,Directors' Circle Filmworks,Romance-Thriller,
